Battle;CommandersAlliesCountry;CommandersAlliesName;;;;;
Battle of Britain;United Kingdom;Winston Churchill;;;;;
Battle of Britain;United Kingdom;Hugh Dowding;;;;;
Battle of Britain;United Kingdom;Keith Park;;;;;
Battle of Britain;United Kingdom;Trafford Leigh-Mallory;;;;;
Battle of Britain;United Kingdom;Quintin Brand;;;;;
Battle of Britain;United Kingdom;Richard Saul;;;;;
Battle of Britain;Canada;William Lyon Mackenzie King;;;;;
Battle of Britain;Canada;L. Samuel Breadner;;;;;
The Hardest Day;United Kingdom;Hugh Dowding;;;;;
The Hardest Day;United Kingdom;Keith Park;;;;;
The Hardest Day;United Kingdom;Trafford Leigh-Mallory;;;;;
Battle of Britain Day;United Kingdom;Hugh Dowding;;;;;
Battle of Britain Day;New Zealand;Keith Park;;;;;
Battle of France;France;Maurice Gamelin;;;;;
Battle of France;France;Alphonse Georges;;;;;
Battle of France;France;Maxime Weygand;;;;;
Battle of France;Belgium;Leopold III;;;;;
Battle of France;United Kingdom;Lord Gort;;;;;
Battle of France;Netherlands;Henri Winkelman;;;;;
Battle of France;Poland;W_adys_aw Sikorski;;;;;
Battle of Sedan;France;Maurice Gamelin;;;;;
Battle of Sedan;France;Charles Huntziger;;;;;
Battle of Sedan;France;Henri Giraud;;;;;
Battle of Sedan;France;Pierre Lafontaine;;;;;
Battle of Sedan;France;Marcel Têtu;;;;;
Battle of Sedan;France;Colonel Poncelet ;;;;;
Battle of Sedan;United Kingdom;Patrick Playfair;;;;;
Battle of Arras;United Kingdom;Harold Franklyn;;;;;
Siege of Calais;United Kingdom;Claude Nicholson;;;;;
Siege of Calais;France;Charles de Lambertye;;;;;
Siege of Calais;France;Raymond Le Tellier;;;;;
Siege of Lille;France;Jean-Baptiste Molinié;;;;;
Siege of Lille;France;Gustave Mesny;;;;;
Operation Paula;France;Joseph Vuillemin;;;;;
Battle of Dunkirk;United Kingdom;Lord Gort;;;;;
Battle of Dunkirk;France;Maxime Weygand;;;;;
Battle of Dunkirk;France;Georges Blanchard;;;;;
Battle of Dunkirk;France;René Prioux;;;;;
Battle of Saumur;France;Colonel Michon;;;;;
The Blitz;United Kingdom;Winston Churchill;;;;;
The Blitz;United Kingdom;Hugh Dowding;;;;;
The Blitz;United Kingdom;Frederick Pile;;;;;
The Blitz;United Kingdom;Owen Tudor Boyd;;;;;
The Blitz;United Kingdom;Sir Leslie Gossage;;;;;
Saar Offensive;France;Maurice Gamelin;;;;;
Saar Offensive;France;André-Gaston Prételat;;;;;
Operation Weserübung;Norway;Haakon VII;;;;;
Operation Weserübung;Norway;Johan Nygaardsvold;;;;;
Operation Weserübung;Norway;Kristian Laake;;;;;
Operation Weserübung;Norway;Otto Ruge;;;;;
Operation Weserübung;Norway;Carl Gustav Fleischer;;;;;
Operation Weserübung;Denmark;Christian X;;;;;
Operation Weserübung;Denmark;Thorvald Stauning;;;;;
Operation Weserübung;Denmark;William Wain Prior;;;;;
Operation Weserübung;United Kingdom;Adrian Carton de Wiart;;;;;
Operation Weserübung;United Kingdom;Charles Tolver Paget;;;;;
Operation Weserübung;United Kingdom;Pierse Joseph Mackesy;;;;;
Operation Weserübung;United Kingdom;Harold de Riemer Morgan;;;;;
Operation Weserübung;France;Antoine Béthouart;;;;;
Norwegian Campaign;Norway;Kristian Laake;;;;;
Norwegian Campaign;Norway;Otto Ruge;;;;;
Norwegian Campaign;United Kingdom;Lord Cork;;;;;
Battles of Narvik;Norway;Per Askim;;;;;
Battles of Narvik;Norway;Odd Isaachsen Willoch;;;;;
Battle of Belgium;Belgium;King Leopold III;;;;;
Battle of Belgium;Belgium;Hubert Pierlot;;;;;
Battle of Belgium;France;Maurice Gamelin;;;;;
Battle of Belgium;France;Maxime Weygand;;;;;
Battle of Belgium;United Kingdom;Lord Gort;;;;;
Battle of Fort Eben-Emael;Belgium;Jean Jottrand;;;;;
Battle of Hannut;France;René Prioux;;;;;
Battle of Hannut;France;Gabriel Bougrain;;;;;
Battle of Hannut;France;Jean-Léon-Albert Langlois;;;;;
Battle of Gembloux;France;René Prioux;;;;;
Operation Cerberus;United Kingdom;Bertram Ramsay;;;;;
Operation Donnerkeil;United Kingdom;Sholto Douglas;;;;;
Operation Donnerkeil;United Kingdom;Philip de la Ferté;;;;;
Operation Donnerkeil;United Kingdom;Trafford Leigh-Mallory;;;;;
St Nazaire Raid;United Kingdom;Robert Ryder;;;;;
St Nazaire Raid;United Kingdom;Augustus Charles Newman;;;;;
Battle of Dieppe;United Kingdom;Louis Mountbatten;;;;;
Battle of Dieppe;Canada;J. H. Roberts;;;;;
Battle of Dieppe;United Kingdom;Trafford Leigh-Mallory;;;;;
Battle of Berlin (RAF);United Kingdom;Arthur Harris;;;;;
Battle of Berlin (RAF);United Kingdom;Ralph Cochrane;;;;;
Battle of Berlin (RAF);United Kingdom;Don Bennett;;;;;
Battle of Berlin (RAF);United Kingdom;Roderick Carr;;;;;
Battle of the Netherlands;Netherlands;Henri Winkelman;;;;;
Battle of the Netherlands;Netherlands;Jan Joseph Godfried van Voorst tot Voorst;;;;;
Battle of the Netherlands;France;Henri Giraud;;;;;
Battle of Rotterdam;Netherlands;Colonel P.W. Scharroo;;;;;
Battle of Zeeland;Netherlands;Henri Winkelman;;;;;
Battle of Zeeland;Netherlands;Hendrik Jan van der Stad;;;;;
Battle of Zeeland;France;Henri Giraud;;;;;
Battle of the Afsluitdijk;Netherlands;Christiaan Boers;;;;;
Battle of the Grebbeberg;Netherlands;Jan Joseph Godfried van Voorst tot Voorst;;;;;
Battle of the Grebbeberg;Netherlands;Jacob Harberts;;;;;
Battle of the Grebbeberg;Netherlands;Antonie Marinus Michiel van Loon;;;;;
Battle for The Hague;Netherlands;Henri Winkelman;;;;;
Battle of Maastricht;Netherlands;Henri Winkelman;;;;;
Battle for Brest;United States;Troy H. Middleton;;;;;
Operation Dragoon;United States;Jacob L. Devers;;;;;
Operation Dragoon;United States;Henry Kent Hewitt;;;;;
Operation Dragoon;United States;Alexander Patch;;;;;
Operation Dragoon;United States;Lucian Truscott;;;;;
Operation Dragoon;France;Jean de Lattre de Tassigny;;;;;
Allied advance from Paris to the Rhine;United States;Dwight D. Eisenhower;;;;;
Allied advance from Paris to the Rhine;United States;Omar Bradley;;;;;
Allied advance from Paris to the Rhine;United States;Jacob L. Devers;;;;;
Allied advance from Paris to the Rhine;United Kingdom;Bernard Montgomery;;;;;
Western Allied invasion of Germany;United States;Dwight D. Eisenhower;;;;;
Western Allied invasion of Germany;United Kingdom;Bernard Montgomery;;;;;
Western Allied invasion of Germany;United States;Omar Bradley;;;;;
Western Allied invasion of Germany;United States;Jacob L. Devers;;;;;
Operation Veritable;United Kingdom;Bernard Montgomery;;;;;
Operation Veritable;Canada;Harry Crerar;;;;;
Operation Veritable;United Kingdom;Brian Horrocks;;;;;
Operation Varsity;United Kingdom;Bernard Montgomery;;;;;
Operation Varsity;United Kingdom;Eric Bols;;;;;
Operation Varsity;United States;Matthew Ridgway;;;;;
Operation Undertone;United States;Jacob L. Devers;;;;;
Battle of Kassel;United States;Horace McBride;;;;;
Battle of Heilbronn;United States;Edward H. Brooks;;;;;
Ruhr Pocket;United States;Omar Bradley;;;;;
Ruhr Pocket;United States;Courtney H. Hodges;;;;;
Ruhr Pocket;United States;William Hood Simpson;;;;;
Ruhr Pocket;United States;Leonard Gerow;;;;;
Ruhr Pocket;United States;Bernard Montgomery;;;;;
Ruhr Pocket;Germany;Karl August Wiedenhofen;;;;;
Battle of Groningen;Canada;Bruce Matthews;;;;;