Battle;CommandersAxisCountry;CommandersAxisName
Battle of Britain;Germany;Adolf Hitler
Battle of Britain;Germany;Wilhelm Keitel
Battle of Britain;Germany;Hermann Göring
Battle of Britain;Germany;Albert Kesselring
Battle of Britain;Germany;Hugo Sperrle
Battle of Britain;Germany;Hans-Jürgen Stumpff
Battle of Britain;Italy;Benito Mussolini
Battle of Britain;Italy;R.C. Fougier
The Hardest Day;Germany;Hermann Göring
The Hardest Day;Germany;Albert Kesselring
The Hardest Day;Germany;Hugo Sperrle
Battle of Britain Day;Germany;Hermann Göring
Battle of Britain Day;Germany;Albert Kesselring
Battle of France;Germany;Walther von Brauchitsch
Battle of France;Germany;Gerd von Rundstedt
Battle of France;Germany;Fedor von Bock
Battle of France;Germany;Wilhelm von Leeb
Battle of France;Germany;Albert Kesselring
Battle of France;Germany;Hugo Sperrle
Battle of France;Italy;Umberto di Savoia
Battle of Sedan;Germany;Gerd von Rundstedt
Battle of Sedan;Germany;Ewald von Kleist
Battle of Sedan;Germany;Heinz Guderian
Battle of Sedan;Germany;W. von Richthofen
Battle of Sedan;Germany;Bruno Loerzer
Battle of Sedan;Germany;Heinrich Krampf
Battle of Sedan;Germany;Karl Weisenberger
Battle of Sedan;Germany;Friedrich Kirchner
Battle of Sedan;Germany;Rudolf Veiel
Battle of Sedan;Germany;Ferdinand Schaal
Battle of Arras;Germany;Erwin Rommel
Siege of Calais;Germany;Ferdinand Schaal
Siege of Lille;Germany;Fritz Kühne
Siege of Lille;Germany;Erwin Rommel
Siege of Lille;Germany;Joachim Lemelsen
Siege of Lille;Germany;Max von Hartlieb-Walsporn
Siege of Lille;Germany;Ludwig Ritter von Radlmeier
Operation Paula;Germany;Hugo Sperrle
Battle of Dunkirk;Germany;Gerd von Rundstedt
Battle of Dunkirk;Germany;Ewald von Kleist
Battle of Saumur;Germany;Kurt Feldt
The Blitz;Germany;Adolf Hitler
The Blitz;Germany;Hermann Göring
The Blitz;Germany;Hugo Sperrle
The Blitz;Germany;Albert Kesselring
The Blitz;Germany;Hans Jeschonnek
Saar Offensive;Germany;Erwin von Witzleben
Operation Weserübung;Germany;Leonhard Kaupisch
Operation Weserübung;Germany;Nikolaus von Falkenhorst
Operation Weserübung;Germany;Hans Ferdinand Geisler
Operation Weserübung;Germany;Günther Lütjens
Operation Weserübung;Germany;Eduard Dietl
Norwegian Campaign;Germany;Nikolaus von Falkenhorst
Battles of Narvik;Germany;Friedrich Bonte
Battles of Narvik;Germany;Eduard Dietl
Battle of Belgium;Germany;Gerd von Rundstedt
Battle of Belgium;Germany;Fedor von Bock
Battle of Fort Eben-Emael;Germany;Walter Koch
Battle of Hannut;Germany;Erich Hoepner
Battle of Hannut;Germany;Horst Stumpff
Battle of Hannut;Germany;Johann Joachim Stever
Battle of Gembloux;Germany;Erich Hoepner
Battle of Gembloux;Germany;Viktor von Schwedler
Operation Cerberus;Germany;Otto Ciliax
Operation Donnerkeil;Germany;Adolf Galland
St Nazaire Raid;Germany;Karl-Konrad Mecke
St Nazaire Raid;Germany;Edo Dieckmann
St Nazaire Raid;Germany;Herbert Sohler
St Nazaire Raid;Germany;Georg-Wilhelm Schulz
Battle of Dieppe;Germany;Gerd von Rundstedt
Battle of Dieppe;Germany;Konrad Haase
Battle of Berlin (RAF);Germany;Hermann Göring
Battle of Berlin (RAF);Germany;Hans-Jürgen Stumpff
Battle of Berlin (RAF);Germany;Joseph Schmid
Battle of Berlin (RAF);Germany;Günther Lützow
Battle of Berlin (RAF);Germany;Max Ibel
Battle of Berlin (RAF);Germany;Walter Grabmann
Battle of Berlin (RAF);Germany;Gotthard Handrick
Battle of the Netherlands;Germany;Fedor von Bock
Battle of the Netherlands;Germany;Hans Graf von Sponeck
Battle of Rotterdam;Germany;General Kurt Student
Battle of Zeeland;Germany;Paul Hausser
Battle of Zeeland;Germany;Oskar von dem Hagen
Battle of the Afsluitdijk;Germany;Kurt Feldt
Battle of the Grebbeberg;Germany;Karl von Tiedemann
Battle for The Hague;Germany;Hans Graf von Sponeck
Battle of Maastricht;Germany;Fedor von Bock
Battle for Brest;Germany;Hermann-Bernhard Ramcke
Operation Dragoon;Germany;Johannes Blaskowitz
Operation Dragoon;Germany;Friedrich Wiese
Operation Dragoon;Germany;Wend von Wietersheim
Allied advance from Paris to the Rhine;Germany;Gerd von Rundstedt
Allied advance from Paris to the Rhine;Germany;Walter Model
Western Allied invasion of Germany;Germany;Adolf Hitler
Western Allied invasion of Germany;Germany;Albert Kesselring
Western Allied invasion of Germany;Germany;Gerd von Rundstedt
Western Allied invasion of Germany;Germany;Walther Model
Western Allied invasion of Germany;Germany;Paul Hausser
Western Allied invasion of Germany;Germany;Johannes Blaskowitz
Western Allied invasion of Germany;Germany;Heinrich Himmler
Operation Veritable;Germany;Alfred Schlemm
Operation Varsity;Germany;Günther Blumentritt
Operation Undertone;Germany;Paul Hausser
Battle of Kassel;Germany;Johannes Erxleben
Battle of Heilbronn;Germany;Max Bork
Ruhr Pocket;Germany;Walter Model
Ruhr Pocket;Germany;Gustav-Adolf von Zangen
Ruhr Pocket;Germany;Josef Harpe
Battle of Groningen;Germany;Karl Böttcher